1,08/11/21,11/11/21,Second Class,CG-12520,FUR-BO-10001798,157,262
2,08/11/21,11/11/21,Second Class,CG-12520,FUR-CH-10000454,366,732
3,12/06/21,16/06/21,Second Class,DV-13045,OFF-LA-10000240,13,15
4,11/10/20,18/10/20,Standard Class,SO-20335,FUR-TA-10000577,575,958
5,11/10/20,18/10/20,Standard Class,SO-20335,OFF-ST-10000760,13,22
6,09/06/19,14/06/19,Standard Class,BH-11710,FUR-FU-10001487,24,49
7,09/06/19,14/06/19,Standard Class,BH-11710,OFF-AR-10002833,5,7
8,09/06/19,14/06/19,Standard Class,BH-11710,TEC-PH-10002275,544,907
9,09/06/19,14/06/19,Standard Class,BH-11710,OFF-BI-10003910,17,19
10,09/06/19,14/06/19,Standard Class,BH-11710,OFF-AP-10002892,103,115
11,09/06/19,14/06/19,Standard Class,BH-11710,FUR-TA-10001539,1024,1706
12,09/06/19,14/06/19,Standard Class,BH-11710,TEC-PH-10002033,729,911
13,15/04/22,20/04/22,Standard Class,AA-10480,OFF-PA-10002365,11,16
14,05/12/21,10/12/21,Standard Class,IM-15070,OFF-BI-10003656,286,408
15,22/11/20,26/11/20,Standard Class,HP-14815,OFF-AP-10002311,55,69
16,22/11/20,26/11/20,Standard Class,HP-14815,OFF-BI-10000756,2,3
17,11/11/19,18/11/19,Standard Class,PK-19075,OFF-ST-10004186,333,666
18,13/05/19,15/05/19,Second Class,AG-10270,OFF-ST-10000107,44,56
19,27/08/19,01/09/19,Second Class,ZD-21925,OFF-AR-10003056,7,9
20,27/08/19,01/09/19,Second Class,ZD-21925,TEC-PH-10001949,107,213
21,27/08/19,01/09/19,Second Class,ZD-21925,OFF-BI-10002215,11,23
22,09/12/21,13/12/21,Standard Class,KB-16585,OFF-AR-10000246,12,19
23,09/12/21,13/12/21,Standard Class,KB-16585,OFF-AP-10001492,30,60
24,16/07/22,18/07/22,Second Class,SF-20065,FUR-CH-10002774,43,71
25,25/09/20,30/09/20,Standard Class,EB-13870,FUR-TA-10000577,627,1045
26,16/01/21,20/01/21,Second Class,EH-13945,OFF-BI-10001634,7,12
27,16/01/21,20/01/21,Second Class,EH-13945,TEC-AC-10003027,82,91
28,17/09/20,21/09/20,Standard Class,TB-21520,FUR-BO-10004834,2158,3083
29,17/09/20,21/09/20,Standard Class,TB-21520,OFF-BI-10000474,5,10
30,17/09/20,21/09/20,Standard Class,TB-21520,FUR-FU-10004848,87,124
